index,notes,author,name,isbn
1,,Malcolm Gladwell,Blink,9781598200874
2,,Malcolm Gladwell,David & Goliath,9782894729816
3,,Richard Dawkins,Outgrowing God,9781447223917
4,,Michael Pollan,Cooked,9781846147500
5,,Malcolm Gladwell,What the Dog Saw,9780316076326
6,,Malcolm Gladwell,Tipping Point,0316346624
7,,Richard Dawkins,The Greatest Show on Earth,9781416594789
8,,Jon Ronson,Lost at Sea,9781787631212
9,,A Thousand Brains,Jeff Hawkins,9781541675797
10,,Vaclav Smil,Energy,9781851684526
11,,Michael Pollan,How To Change Your Mind,9780241294222
12,,Daniel Kahneman et al.,Noise,9780316451406
13,,Richard Dawkins,The Blind Watchmaker,0393022161
14,,Haruki Murakami,Men Without Women,9780385689441
15,,Richard Dawkins,The Magic of Reality,9780593066126
16,*,Edward Snowden,Permanent Record,9781250237231
17,,Michael Pollan,The Omnivore’s Dilemma,9780786289523
18,*,Trevor Noah,Born a Crime,9781473635289
19,*,Walter Isaacson,Steve Jobs,9781501127625
20,,"Bastian Obermayer, Fredrik Obermaier",The Panama Papers,9781543623833
21,,Richard Dawkins,The Selfish Gene,0195200004
22,*,Raghuram Rajan,Fault Lines,9789350291733
23,,Thomas Piketty,Capital in 21st Century,9780674430006
24,,Tom Burgis,Kleptopia,9780062883667
25,,Douglas Adams,The Ultimate Hitchhikers Guide to the Galaxy,9780385365925
26,,Nicolas Nissim Taleb,Fooled by Randomness,0812975219
27,,Shashi Tharoor,The Inglorious Empire,9781849048088
28,,William Taubman,Gorbachev,9780393356205
29,,Nicolas Nissim Taleb,The Black Swan,9780141034591
30,,Phil Knight,Shoe Dog,9781501135910
31,,Haruki Murakami,Kafka on the Shore,9781784877989
32,,Edwin Abbott Abbott,Flatland,9780140076158
33,,George S Clason,Richest Man in Babylon,9780452267251
34,,Sarah Harvey,Kaizen,9781529005356
35,,William Strunk,The Elements of Style,9781682040133
36,,Bill Gates,How to Prevent the Next Pandemic,9780593534489
37,,Matt Parker,Things to Make and Do in the Fourth Dimension,9781846148590
38,,Vaclav Smil,How the World Really Works,9780593297063
39,,George Polya,How to Solve it,9780691119663
40,,Peter Wohlleben,The Hidden lives of Trees,9781771642484
41,,Eric Jorgenson,The Almanack of Naval Ravikant,9781544514215
42,,Erik Conway,Merchants of Doubt,9781596916104
43,*,James Gleick,Chaos,0140092501
44,,Siddhartha Mukherjee,The Gene,9781508211389
45,,Anna Lembke,Dopamine Nation,9781524746728
46,,"Sunil Gupta, Sunetra Choudhury",Black Warrant,9788194206859
47,,Bill Browder,Red Notice,9780552170321
48,,Neil Degrasse Tyson,Starry Messenger,9781250861504
49,,Randall Munroe,What If?,9781848549562
50,,Peter Theil,Zero to One,9780804139298
