index,OLID,notes,author,name,isbn,cover
1,OL34534882W,*,Paul Kalanithi,When Breath becomes Air,9780812988406,13338248
2,OL20537401W,,Lynne Murphy,The Prodigal Tongue,9781977303356,9185519
3,OL20153626W,,David Graeber,Bullshit Jobs,9781501143335,8798647
4,OL20843696W,,James Comey,A Higher Loyalty,9781529003130,10152891
5,OL27846773W,,Siddhartha Mukherjee,The Song of the Cell,9781982117375,12982914
6,OL20046006W,,Michael Lewis,The Undoing Project,9781410496454,8574667
7,OL24149728W,,Eliot Higgins,We are Bellingcat,9781635577303,10548486
8,OL25328015W,,Sebastian Mallaby,The Power Law,9780525559993,12855991
9,OL15540668W,*,Siddhartha Mukherjee,The Emperor of all Maladies,9781439107959,11320203
10,OL20787306W,,Gregory Zuckerman,The Man Who Solved the Market,9780241981344,10079077
11,OL33857307M,,"Adam Rutherford, Hannah Fry",Rutherford & Fry's Complete Guide to Absolutely Everything,9780393881578,12603133
12,OL24340933W,,Steven Pinker,Rationality,9780525561996,10864130
13,OL36675855M,,Nathan Lents,Human Errors,9781684413324,12563206
14,OL18201749W,,Shoshana Zuboff,The Age of Surveillance Capitalism,9781610395694,8353262
15,OL22089096W,,Nicolas Nissim Taleb,Skin in the Game,9780241300657,10439622
16,OL83715W,,Dalai Lama,Freedom in Exile,9780349104621,42787
17,OL8062007W,,Burton Malkiel,A Random Walk Down Wall Street,9780393320404,249923
18,OL1968368W,,Robert Greene,48 Rules of Power,0140280197,6424160
19,OL16568840W,,Jonathan Haidt,The Righteous Mind,9780307377906,7256782
20,OL28623980W,,Ginni Rometty,Good Power,9781647823221,13326892
21,OL19663289W,,Nick Lane,The Vital Question,9781781250372,10014850
22,OL17095301W,,Randall Munroe,What If? 2,9780525537113,12598134
23,OL30809615W,*,Chelsea Manning,Readme.txt,9781250872449,13759869
24,OL32387462M,,Bjorn Lomborg,False Alarm,9781541647473,11051143
25,OL21209060W,,James Scott,Rampage,9780393357561,0
26,OL27810387W,,Bogdanich & Forsythe,When McKinsey comes to Town,9780385546232,12975794
27,OL20334242W,,Zohar & Mishal,Mossad,9780062123411,8997685
28,OL8305185W,*,Bjorn Lomborg,The Skeptical Environmentalist,9780521010689,328655
29,OL1751051W,,Sokal & Bricmont,Fashionable Nonsense,9780312204075,175297
30,OL25807247W,,Seth Stephens-Davidowitz,Don't Trust Your Gut,9781526605092,14695616
31,OL27343095M,,Raghuram Rajan,The Third Pillar,9780525558316,8807189
32,OL17551552W,,Hayao Miyazaki,Turning Point,9781421560908,7804729
33,OL4288870W,,Walter Isaacson,Einstein: His Life and Universe,9780739489031,474440
34,OL17043758W,,Hussain Zaidi,Dongri to Dubai,9788174368942,7286147
35,OL18821160W,,Molly Bloom,Molly’s Game,9780062838582,8367980
36,OL17715915W,,Adam Rutherford,A Brief History of Everyone Who Ever Lived,9780297609377,9155814
37,OL278022W,,Dubner and Levitt,Freakonomics,9780060731328,11172914
38,OL28321311M,,Jocko Willink,Extreme Ownership,9781250270962,10250457
39,OL24207868M,,Immanuel Kant,Metaphysics of Morals,9781434605160,6503264
40,OL29506523M,,Friedrich Nietzsche,God is Dead. God Remains Dead. And We Have Killed Him,9780241472842,14149542
41,OL35996435M,,Harish Bhat,#Tatastories,9780670095322,0
42,OL7927002M,,Gene Kranz,Failure Is Not an Option,9780743214476,471811
43,OL32754021M,,Frans de Waal,Are We Smart Enough to Know How Smart Animals Are,9781504712217,11380116
44,OL46535432M,,Matthew Black,Operation Underworld,9780806542164,13232778
45,OL51149627M,,Jonn Elledge,A History of the World in 47 Borders,9781891011573,0
46,OL7318016M,,Roger Penrose,The Road to Reality,9780099440680,74512
47,OL54610936M,,Plato,Republic,9781534626911,0
48,OL27157451M,,Serhii Plokhy,The Last Empire,9780465056965,12607562
49,OL28635528M,*,Benjamin Graham,The Intelligent Investor,9780062312686,10328222
50,OL52209904M,,Malcom Gladwell,Revenge of the Tipping Point,9780316575805,14829976
