index,isbn,author,name,notes
1,9780593146798,Andy Greenberg,Sandworm,
2,9781627791618,Glenn Greenwald,No Place to Hide,
3,9780593714027,Scott Galloway,The Algebra of Wealth,
4,9781631492228,Mary Beard,SPQR,
5,9780770436179,Kim Zetter,Countdown to Zero Day,*
6,9780241636602,Gary Stevenson,The Trading Game,
7,9781324050506,Ananyo Bhattacharya,The Man from the Future,
8,9781615198474,Tim Marshall,Prisoners of Geography,
9,9780805242256,Hannah Arendt,Origins of Totalitarianism,
10,9781501168338,Tim Marshall,Worth Dying For,
11,9781783966875,Tim Marshall,Future of Georgaphy,
12,9780465094257,Sabine Hossenfelder,Lost in Math,
13,9781783966028,Tim Marshall,The Power of Geography,
14,9780752881614,Marco Pierre White,The Devil in the Kitchen,
15,9780425017562,Robert A. Heinlein,Stranger in a Strange Land,
16,9780465056965,Serhii Plokhy,The Last Empire,
17,9781401303082,Frank Luntz,Words that Work,
18,9780593728697,Jacinda Ardern,A Different Kind of Power,*
19,9780141034645,Steven Pinker,The Better Angels of Our Nature,
20,0140277447,Iris Chang,The Rape of Nanking,
21,9780593801581,Bill Gates,Source Code,
22,9781250756121,Anna Malaika Tubbs,Three Mothers,*
23,0441013597,Frank Herbert,Dune,
24,9780441172696,Frank Herbert,Dune: Messiah,
25,9780441104024,Frank Herbert,Dune: Children of Dune,
26,9788184007558,Pavitra Kumar,Bhujia Barons,
27,9780593655955,Arnold Schwarzenegger,Be Useful: Seven Tools for Life,
28,9788125015659,Satyajit Ray,"Our Films, Their Films",
29,9781781858929,Dan Jones,The Templars,
30,9780140185850,Yevgeny Zamyatin,We,
31,9781035023677,Time Berners-Lee,This is for Everyone,
32,9781784879693,Kurt Vonnegut,Slaughterhouse-Five,
33,9781847927033,Alexei Navalny,Patriot,
34,9780008299781,David De Jong,Nazi Billionaires,
35,9780140132700,Salman Rushdie,Midnight's Children,
36,9781473695702,Marc David Baer,The Ottomans,
37,9780061743528,Harper Lee,To Kill a Mockingbird,
38,9789391165055,Anirudh Kanisetti,Lords of the Deccan,
39,9780670084982,Thomas Timberg,The Marwaris,
40,9780449219775,William Shirer,Rise and Fall of the Third Reich,
41,9781684415625,Venki Ramakrishnan,Gene Machine,
42,9781668031247,Charles Piller,Doctored,
43,9780688172176,VS Ramachandran,Phantoms in the Brain,*
44,9781529925531,Lewis Dartnell,Being Human,
45,9780593804148,Omar El Akkad,"One Day, Everyone Will Have Always Been Against This",
46,9780525556572,John Green,Everything is Tuberculosis,
47,9781668053393,Patrick McGee,Apple in China,*
48,9781405964098,John Steinbeck,Of Mice and Men,
49,0886825016,Ursula Le Guin,The Ones Who Walk Away from Omelas,
50,9783956763182,Nathuram Godse,Why I Killed Gandhi,
