OLID;title;coverId
OLID;title;coverId
OL83715W;Freedom in exile;42787
OL8305185W;The Skeptical Environmentalist;328655
OL8062007W;A Random Walk Down Wall Street;249923
OL7927002M;Failure Is Not an Option;471811
OL7318016M;The Road to Reality;74512
OL54610936M;Republic;null
OL52209904M;Revenge of the Tipping Point;14829976
OL51149627M;Brief History of the World in 47 Borders;null
OL46535432M;Operation Underworld;13232778
OL4288870W;Einstein;474440
OL36675855M;Human Errors;12563206
OL35996435M;# Tata Stories;null
OL34534882W;When Breath Becomes Air  - Khi Hơi Thở Hóa Thinh Không;13338248
OL33857307M;Complete Guide to Absolutely Everything*;12603133
OL32754021M;Are We Smart Enough to Know How Smart Animals Are?;11380116
OL32387462M;False Alarm;11051143
OL30809615W;README.txt;13759869
OL29506523M;God Is Dead. God Remains Dead. and We Have Killed Him;14149542
OL28635528M;The Intelligent Investor;10328222
OL28623980W;Good Power;13326892
OL28321311M;Extreme Ownership;10250457
OL27846773W;The Song of the Cell;12982914
OL27810387W;When Mckinsey Comes to Town;12975794
OL278022W;Freakonomics;11172914
OL27343095M;The Third Pillar;8807189
OL17095301W;What If? 2;12598134
OL27157451M;The last empire;12607562
OL25807247W;Don't Trust Your Gut;14695616
OL25328015W;The Power Law;12855991
OL24340933W;Rationality;10864130
OL24207868M;Fundamental principles of the metaphysic of morals;6503264
OL24149728W;We Are Bellingcat;10548486
OL22089096W;Skin in the Game;10439622
OL21209060W;Rampage;null
OL20843696W;A Higher Loyalty;10152891
OL20787306W;The Man Who Solved the Market;10079077
OL20537401W;The Prodigal Tongue;9185519
OL20334242W;Mossad;8997685
OL20153626W;Bullshit Jobs;8798647
OL20046006W;The undoing project;8574667
OL1968368W;The 48 Laws of Power;6424160
OL19663289W;The vital question;10014850
OL18821160W;Molly's Game;8367980
OL18201749W;The Age of Surveillance Capitalism;8353262
OL17715915W;A Brief History of Everyone Who Ever Lived;9155814
OL17551552W;Turning Point 19972008;7804729
OL1751051W;Fashionable nonsense;175297
OL17043758W;dongri to dubai;7286147
OL16568840W;The Righteous Mind;7256782
OL15540668W;The Emperor of All Maladies;11320203
