"Neil DeGrasse Tyson","Letters from an Astrophysicist",9781324003311,2021
"Neil DeGrasse Tyson","Astrophysics for People in a Hurry",9780393609394,2021
"Hector Garcia, Francesc Miralles","Ikigai",9780143130727,2021
"Neil DeGrasse Tyson, Avis Lang","Accessory to War",9781984833983,2021
"Robert L Picconi","Einstein for Everyone",9780739489031,2021
"Jordan Peterson","12 Rules for Life: An Antidote to Chaos",9780141988511,2021
"Nicollo Machiavelli","The Prince",9781074139650,2021
"Bill Gates","How to Avoid a Climate Disaster",9780385546140,2021
"Hans Rosling","Factfullness",9781250123824,2021
"Walter Isaacson","The Code Breaker",9781982115876,2021
"Fyodor Dostoyevsky","Crime and Punishment",9781510766709,2021
"Nassim Taleb","Anti-fragile",9780812979688,2021
"Matt Parker","Humble Pi",9780593084694,2021
"George Orwell","1984",9781785996313,2021
"Cathy O’Neil","Weapons of Math Destruction",9780241296813,2021
"James Clear","Atomic Habits",9781847941831,2021
"Tim Harford","How to Make the World Add Up",9780349143866,2021
"Leonard Susskind","Theoretical Minimum: Classical Mech",9780141976228,2021
"Bill Bryson","A Short History of Nearly Everything",9780307885159,2021
"Adam Smith","The Wealth of Nations",9781404309982,2021
"George Orwell","Animal Farm",9781943138425,2021
"Elizabeth Kolbert","The Sixth Extinction",9781250062185,2021
"Marry Shelly","Frankenstein",9789176370728,2021
"Aldous Huxley","Brave New World",9780062001719,2021
"Jonathan Haidt, Gred Luianoff","The Coddling of the American Mind",9780735224919,2021
"Yeonmi Park","In Order to Live",9781611764666,2021
"Daniel Kahneman","Thinking Fast and Slow",9780385676533,2021
"Richard Dawkins","The God Delusion",9780552773317,2021
"Lao Tau","Tao Te Ching",9781787247659,2021
"Angela Duckworth","Grit",9781501111105,2021
"Dawkins, Bennett, Harris, Hitchens","The Four Horsemen",9780525511953,2021
"Reed Hastings","No Rules Rules",9781984877864,2021
"Miyamoto Musashi","The Book of Five Rings",9781611806403,2021
"Malcom Gladwell","Outliers",9780316024976,2021
"Victor Frankl","Man’s Search for Meaning",9780807067994,2021
"Charles Darwin","On The Origin of Species",9781402789595,2021
"Friedrich Nitzsche","Beyond Good and Evil",NaN,2021
"John Brooks","Business Adventures",575003499,2021
"Noam Chomsky","Manufacturing Consent",9780375714498,2021
"Stephen Hawking","Brief History of Time",9780553380163,2021
"Aleksandr Solzhenitsyn","The Gulag Archipelago",60007761,2021
